TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
512236,tt4278346,Chuck Steel: Night of the Trampires,en,2.103,2018-06-12,89,Animortal Studios,United Kingdom,0,0,"Animation,Action,Comedy",Mike Mort,Mike Mort,"Mike Mort,Jennifer Saunders,Paul Whitehouse",6.8
500535,tt4269118,Seven in Heaven,en,6.153,2018-10-05,94,Blumhouse Productions,United States of America,0,0,"Drama,Horror,Mystery",Chris Eigeman,Chris Eigeman,"Travis Tope,Haley Ramm,Dylan Everett",5.3
390485,tt4263780,The Snarling,en,2.038,2018-10-29,83,Shooting Lodge Productions,United Kingdom,0,0,"Action,Comedy,Fantasy",Pablo Raybould,Pablo Raybould,"Rebecca Shepherd,Vermillion Spango,Angharhad Owen",4.5
399360,tt4244998,Alpha,en,45.911,2018-08-17,97,"Studio 8,Columbia Pictures,The Picture Company","Canada,United States of America",51000000,35808437,"Action,Adventure,Drama","Daniele Sebastian Wiedenhaupt,Albert Hughes",Albert Hughes,"Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,Marcin Kowalczyk",6.6
401469,tt4218572,Widows,en,28.578,2018-11-06,129,"New Regency Pictures,See-Saw Films,Film4 Productions,Lammas Park,Regency Enterprises","United States of America,United Kingdom",42000000,73866088,"Crime,Drama,Thriller","Gillian Flynn,Steve McQueen,Lynda La Plante",Steve McQueen,"Viola Davis,Michelle Rodriguez,Elizabeth Debicki",6.8
543726,tt4177018,VS.,en,2.621,2018-10-19,100,"BBC Film,Lorton Entertainment,Silvertown Films",United Kingdom,0,0,"Drama,Music","Daniel Hayes,Ed Lilly",Ed Lilly,"Connor Swindells,Fola Evans-Akingbola,Ruth Sheen",5.9
300681,tt4154916,Replicas,en,30.049,2018-10-25,107,"Di Bonaventura Pictures,Company Films,Ocean Park Entertainment,Riverstone Pictures,Fundamental Films,Lotus Entertainment,Remstar Productions","Canada,China,Puerto Rico,United Kingdom,United States of America",30000000,8100000,"Drama,Sci-Fi,Thriller","Chad St. John,Stephen Hamel",Jeffrey Nachmanoff,"Keanu Reeves,Alice Eve,Thomas Middleditch",5.4
299536,tt4154756,Avengers: Infinity War,en,302.406,2018-04-25,149,Marvel Studios,United States of America,300000000,2046239637,"Action,Adventure,Sci-Fi","Christopher Markus,Stephen McFeely,Stan Lee","Anthony Russo,Joe Russo","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",8.4
370756,tt4151320,Always at The Carlyle,en,4.494,2018-05-11,92,"Quixotic Endeavors,Good Deed Entertainment",United States of America,0,0,Documentary,Matthew Miele,Matthew Miele,"Woody Allen,Herb Alpert,Wes Anderson",6.4
449459,tt4131496,The Vanishing,en,11.108,2019-01-04,108,"Mad as Birds,Head Gear Films,Kodiak Pictures,Metrol Technology,Cross Creek Pictures,iWood Studios,Creative Scotland,G-BASE,New Republic Pictures,Protagonist Pictures,Saban Films","United Kingdom,United States of America",0,0,"Drama,Mystery,Thriller","Celyn Jones,Joe Bone",Kristoffer Nyholm,"Peter Mullan,Gerard Butler,Emma King",5.9
474104,tt4130484,Demon House,en,5.882,2018-03-16,111,Freestyle Digital Media,United States of America,22000000,0,"Documentary,Horror,Mystery",Zak Bagans,Zak Bagans,"Zak Bagans,Adam Ahlbrandt,Matthew Mourgides",4.8
